	Word	PoS	FrSp		LL	FrWr
	bad	Adj	296	+	1262.0	136
	wrong	Adj	263	+	841.3	136
	east	NoC	64	-	449.2	136
	nor	Conj	27	-	1247.6	136
	forward	Adv	151	+	16.8	135
	everyone	Pron	118	-	20.4	135
	12	Num	1	-	2494.4	135
	property	NoC	45	-	781.5	135
	saying	Verb	577	+	6836.4	135
	means	Verb	170	+	81.6	134
	at all	Adv	270	+	961.2	134
	built	Verb	83	-	214.9	134
	west	NoC	69	-	362.2	134
	behaviour	NoC	34	-	1013.3	133
	included	Verb	30	-	1140.3	133
	before	Adv	230	+	529.7	133
	chance	NoC	109	-	42.6	133
	labour*	Adj	118	-	16.5	133
	France	NoP	40	-	851.7	133
	record	NoC	73	-	299.3	133
	treatment	NoC	31	-	1086.2	133
	happened	Verb	195	+	237.6	132
	close	Adj	67	-	367.3	132
	fire	NoC	146	+	14.5	131
	prime	Adj	31	-	1074.8	131
	energy	NoC	44	-	749.9	131
	previous	Adj	52	-	583.6	131
	director	NoC	41	-	813.6	131
	serious	Adj	64	-	396.7	131
	example	NoC	76	-	259.4	131
	recently	Adv	60	-	453.9	130
	significant	Adj	39	-	835.1	130
	space	NoC	79	-	220.2	130
	right	Adv	2209	+	62243.5	130
	total	Adj	54	-	543.6	130
	boy	NoC	159	+	59.0	130
	levels	NoC	48	-	641.3	129
	size	NoC	105	-	47.4	129
	design	NoC	35	-	927.9	129
	along	Prep	79	-	209.6	129
	normal	Adj	88	-	134.0	129
	July	NoP	38	-	843.9	128
	Peter	NoP	87	-	139.9	128
	start	Verb	365	+	2575.0	128
	quickly	Adv	88	-	128.1	128
	seven	Num	565	+	6896.1	128
	technology	NoC	38	-	836.1	127
	30	Num	2	-	2275.2	127
	costs	NoC	65	-	347.9	126
	suddenly	Adv	45	-	655.8	126
	following	Verb	32	-	974.3	126
	defence	NoC	33	-	939.4	126
	giving	Verb	113	-	13.3	126
	activities	NoC	29	-	1031.4	126
	details	NoC	44	-	676.3	126
	choice	NoC	72	-	258.1	126
	loss	NoC	31	-	989.1	126
	sat	Verb	76	-	215.0	126
	red	Adj	125	-	0.0	126
	issues	NoC	80	-	181.4	125
	term	NoC	102	-	43.5	125
	income	NoC	80	-	172.7	125
	industrial	Adj	38	-	804.5	125
	pressure	NoC	72	-	249.3	125
	away   from	Prep	80	-	174.4	125
	forces	NoC	26	-	1102.6	124
	activity	NoC	35	-	875.0	124
	worked	Verb	152	+	53.5	124
	reported	Verb	22	-	1241.1	124
	scheme	NoC	78	-	190.0	124
	hear	Verb	254	+	935.1	124
	continue	Verb	66	-	304.0	124
	United	NoP-	36	-	838.5	124
	association	NoC	39	-	760.7	124
	throughout	Prep	48	-	574.2	124
	opened	Verb	45	-	628.2	124
	cup	NoC	112	-	9.5	123
	move	Verb	251	+	915.4	123
	consider	Verb	65	-	311.3	123
	relations	NoC	17	-	1396.2	123
	hotel	NoC	38	-	775.1	123
	won	Verb	66	-	295.4	123
	eight	Num	606	+	8237.0	123
	Dr	NoC	19	-	1305.9	122
	parts	NoC	63	-	328.9	122
	rates	NoC	48	-	555.1	122
	hall	NoC	78	-	172.1	122
	army	NoC	46	-	593.4	122
	generally	Adv	59	-	378.5	122
	allow	Verb	53	-	469.1	122
	15	Num	1	-	2236.9	122
	myself	Pron	159	+	97.7	122
	outside	Prep	65	-	304.6	122
	sun	NoC	55	-	437.4	121
	teachers	NoC	67	-	278.4	121
	turn	Verb	198	+	373.4	121
	spent	Verb	76	-	180.9	120
	St	NoP	28	-	999.4	120
	stop	Verb	225	+	661.8	120
	wide	Adj	48	-	529.0	120
	fine	Adj	187	+	293.0	120
	dead	Adj	63	-	313.7	120
	contract	NoC	64	-	305.0	120
	arms	NoC	27	-	1002.1	120
	plan	NoC	155	+	87.0	120
	Soviet	Adj	18	-	1291.0	119
	specific	Adj	58	-	375.0	119
	lower	Adj	42	-	630.0	119
	7	Num	3	-	2065.0	119
	military	Adj	17	-	1317.2	119
	developed	Verb	26	-	1013.2	119
	list	NoC	114	-	1.7	118
	wall	NoC	79	-	136.4	118
	summer	NoC	69	-	229.1	118
	appropriate	Adj	64	-	280.7	118
	appear	Verb	31	-	881.1	118
	top	Adj	64	-	276.4	118
	season	NoC	37	-	722.0	118
	floor	NoC	95	-	43.1	118
	hon.	Adj	0	-	2293.9	118
	de*	NoP	13	-	1461.0	117
	continued	Verb	10	-	1587.9	117
	played	Verb	68	-	226.6	117
	product	NoC	58	-	344.7	117
	George	NoP	56	-	370.6	117
	appeared	Verb	16	-	1328.4	117
	takes	Verb	126	+	7.6	117
	call	Verb	290	+	1624.5	117
	set	NoC	70	-	199.4	116
	effects	NoC	33	-	801.8	116
	wo~	VMod	552	+	7229.2	116
	unit	NoC	48	-	485.6	116
	husband	NoC	80	-	116.5	116
	ideas	NoC	70	-	201.7	116
	announced	Verb	13	-	1430.9	116
	basic	Adj	51	-	442.7	116
	points	NoC	110	-	2.2	116
	investment	NoC	54	-	392.1	115
	successful	Adj	44	-	551.6	115
	original	Adj	44	-	544.5	115
	New	NoP-	24	-	1023.7	115
	produce	Verb	60	-	300.4	115
	showed	Verb	36	-	706.8	115
	style	NoC	35	-	739.5	115
	1988	Num	0	-	2207.9	115
	popular	Adj	27	-	932.2	115
	meant	Verb	103	-	11.6	114
	test	NoC	62	-	278.1	114
	village	NoC	59	-	312.5	114
	Germany	NoP	37	-	675.9	114
	October	NoP	36	-	694.0	114
	whatever	DetP	289	+	1663.0	114
	1992	Num	1	-	2138.6	114
	change	Verb	160	+	148.0	114
	events	NoC	23	-	1048.3	114
	suggested	Verb	42	-	569.2	114
	products	NoC	39	-	626.6	114
	returned	Verb	12	-	1434.7	114
	Paul	NoP	116	+	0.5	114
	numbers	NoC	107	-	3.6	114
	nearly	Adv	127	+	13.7	114
	beyond	Prep	35	-	719.5	114
	science	NoC	41	-	589.0	113
	professional	Adj	33	-	751.4	113
	passed	Verb	50	-	420.5	113
	each   other	Pron	62	-	265.7	113
	talk	Verb	266	+	1339.7	113
	colour	NoC	96	-	26.1	113
	interests	NoC	29	-	839.4	113
	figures	NoC	106	-	3.4	112
	offered	Verb	52	-	389.4	112
	event	NoC	30	-	813.3	112
	rules	NoC	43	-	527.5	112
	reasons	NoC	74	-	136.5	112
	economy	NoC	43	-	535.0	112
	risk	NoC	36	-	677.2	112
	direct	Adj	41	-	564.2	112
	employment	NoC	65	-	219.3	112
	top	NoC	196	+	475.5	112
	couple	NoC	220	+	748.1	111
	dark	Adj	39	-	591.3	111
	September	NoP	45	-	478.9	111
	ensure	Verb	37	-	636.5	111
	difference	NoC	136	+	52.0	111
	resources	NoC	59	-	271.2	111
	circumstances	NoC	49	-	414.1	111
	help	NoC	79	-	94.8	110
	happy	Adj	176	+	298.9	110
	stay	Verb	146	+	95.9	110
	aware	Adj	86	-	55.6	110
	follows	Verb	16	-	1223.3	110
	garden	NoC	88	-	43.8	110
	commission	NoC	40	-	550.6	110
	designed	Verb	21	-	1043.8	110
	sound	NoC	43	-	488.7	109
	advice	NoC	64	-	204.9	109
	immediately	Adv	42	-	507.1	109
	a little	Adv	67	-	174.6	109
	needs	NoC	71	-	141.8	109
	America	NoP	53	-	331.7	109
	January	NoP	41	-	534.5	109
	oil	NoC	48	-	410.6	109
	unless	Conj	122	+	15.3	109
	goods	NoC	39	-	571.8	109
	sales	NoC	65	-	191.6	109
	involved	Verb	60	-	250.6	109
	established	Verb	20	-	1062.1	108
	fell	Verb	42	-	503.8	108
	changed	Verb	120	+	12.2	108
	buy	Verb	261	+	1380.0	108
	8	Num	3	-	1845.1	108
	traditional	Adj	23	-	958.7	108
	window	NoC	91	-	23.8	107
	published	Verb	21	-	998.2	107
	Scottish	Adj	22	-	979.4	107
	lines	NoC	56	-	277.6	107
	blood	NoC	51	-	348.9	107
	western	Adj	26	-	852.6	107
	chairman	NoC	151	+	146.7	107
	goes	Verb	503	+	6537.7	107
	effective	Adj	35	-	628.5	107
	German	Adj	24	-	918.9	107
	fish	NoC	69	-	146.9	107
	picture	NoC	91	-	23.0	107
	park	NoC	76	-	90.7	107
	James	NoP	62	-	209.5	107
	response	NoC	43	-	468.3	106
	degree	NoC	42	-	488.4	106
	please	Adv	361	+	3259.4	106
	press	NoC	61	-	214.9	106
	operation	NoC	50	-	350.9	106
	prices	NoC	57	-	257.6	106
	hold	Verb	110	+	1.6	106
	round	Adv	415	+	4467.1	106
	access	NoC	49	-	361.0	106
	title	NoC	18	-	1071.1	106
	opportunity	NoC	75	-	91.0	106
	useful	Adj	58	-	248.9	106
	species	NoC	13	-	1277.2	106
	shows	Verb	40	-	504.9	105
	importance	NoC	25	-	847.0	105
	extent	NoC	57	-	256.6	105
	majority	NoC	51	-	333.6	105
	offer	Verb	42	-	470.8	105
	gives	Verb	97	-	5.4	105
	forms	NoC	40	-	508.2	105
	college	NoC	72	-	108.1	105
	application	NoC	59	-	226.0	105
	film	NoC	66	-	158.3	105
	less	DetP	68	-	142.2	105
	independent	Adj	38	-	542.2	105
	C / c	Lett	431	+	4884.8	105
	written	Verb	94	-	11.1	105
	doctor	NoC	106	+	0.2	105
	easily	Adv	49	-	349.7	104
	considerable	Adj	24	-	855.2	104
	hope	Verb	206	+	698.3	104
	expect	Verb	119	+	17.2	104
	conference	NoC	69	-	130.8	104
	election	NoC	40	-	499.5	104
	hour	NoC	194	+	559.1	104
	Ireland	NoP	29	-	735.6	104
	parliament	NoC	37	-	551.8	104
	wrote	Verb	61	-	195.3	103
	standards	NoC	36	-	571.5	103
	caused	Verb	29	-	712.1	103
	above	Adv	12	-	1280.7	103
	physical	Adj	26	-	791.6	103
	running	Verb	113	+	7.6	103
	software	NoC	17	-	1085.1	103
	11	Num	1	-	1919.5	103
	page	NoC	137	+	93.1	103
	television	NoC	78	-	59.5	103
	Richard	NoP	77	-	63.1	102
	leaving	Verb	44	-	408.9	102
	plans	NoC	49	-	325.9	102
	left	Adj	29	-	710.9	102
	thought	NoC	35	-	567.3	102
	raised	Verb	42	-	437.7	102
	concern	NoC	46	-	360.6	102
	station	NoC	87	-	19.6	102
	earth	NoC	55	-	239.9	102
	wish	Verb	113	+	10.9	101
	statement	NoC	73	-	82.1	101
	glass	NoC	46	-	355.0	101
	river	NoC	35	-	547.7	101
	means	NoC	52	-	271.1	101
	remained	Verb	8	-	1406.2	101
	increase	NoC	57	-	212.7	100
	playing	Verb	108	+	4.6	100
	November	NoP	37	-	495.4	100
	December	NoP	35	-	534.9	100
	worth	Prep	114	+	16.4	100
	green	Adj	88	-	13.9	100
	round	Prep	245	+	1320.3	100
	Charles	NoP	13	-	1173.6	100
	competition	NoC	44	-	378.5	100
	responsible	Adj	45	-	366.6	100
	region	NoC	91	-	8.5	100
	complete	Adj	42	-	413.1	100
	lay	Verb	28	-	694.7	100
	miles	NoC	82	-	31.6	100
	eye	NoC	53	-	247.1	100
	medical	Adj	35	-	525.7	100
	appeal	NoC	19	-	941.3	100
	task	NoC	26	-	741.7	100
	up to	Adv	47	-	323.6	100
	opposition	NoC	19	-	931.6	99
	carry	Verb	116	+	24.2	99
	existing	Adj	51	-	271.0	99
	public	NoC	66	-	117.2	99
	leader	NoC	36	-	513.1	99
	Wales	NoP	37	-	485.1	99
	site	NoC	78	-	45.6	99
	daughter	NoC	54	-	234.4	99
	source	NoC	19	-	942.0	99
	highly	Adv	27	-	710.5	99
	purpose	NoC	44	-	361.5	99
	walked	Verb	55	-	215.6	99
	ready	Adj	130	+	79.4	99
	stopped	Verb	70	-	85.4	99
	heavy	Adj	56	-	205.4	99
	yourself	Pron	182	+	509.7	99
	mouth	NoC	47	-	324.0	99
	accept	Verb	94	-	2.2	99
	II / ii	Num	0	-	1893.6	98
	earlier	Adv	82	-	28.1	98
	follow	Verb	58	-	181.8	98
	method	NoC	27	-	690.5	98
	methods	NoC	16	-	1034.7	98
	support	Verb	93	-	2.2	98
	campaign	NoC	34	-	530.0	98
	involved	Adj	80	-	31.7	98
	arm	NoC	36	-	496.1	98
	surface	NoC	20	-	882.5	98
	lack	NoC	27	-	703.5	98
	remain	Verb	23	-	809.5	98
	cold	Adj	109	+	13.2	97
	write	Verb	206	+	828.4	97
	ability	NoC	39	-	435.3	97
	pattern	NoC	35	-	498.1	97
	skills	NoC	39	-	424.0	97
	look	NoC	227	+	1120.2	97
	responsibility	NoC	57	-	180.9	97
	lady	NoC	98	+	0.1	97
	in terms of	Prep	142	+	169.8	97
	attempt	NoC	17	-	982.4	97
	disease	NoC	21	-	842.3	97
	lead	Verb	38	-	446.6	97
	miss*	NoC	42	-	377.8	96
	below	Adv	16	-	995.2	96
	male	Adj	22	-	795.1	96
	planning	NoC	95	-	0.1	96
	exactly	Adv	201	+	782.9	96
	houses	NoC	97	+	0.0	96
	failed	Verb	23	-	774.2	96
	county	NoC	258	+	1648.7	96
	girls	NoC	97	+	0.0	96
	needs	Verb	104	+	6.3	96
	Michael	NoP	87	-	7.6	96
	arrived	Verb	24	-	742.9	96
	I / i	Num	0	-	1816.7	96
	peace	NoC	30	-	580.0	95
	demand	NoC	30	-	577.3	95
	status	NoC	23	-	769.8	95
	equipment	NoC	38	-	424.8	95
	eventually	Adv	59	-	152.6	95
	no longer	Adv	29	-	601.7	95
	past	Adj	34	-	508.2	95
	jobs	NoC	114	+	33.0	95
	fully	Adv	40	-	395.1	95
	West	NoP-	28	-	624.7	95
	hundred	NoC	1023	+	23691.2	95
	division	NoC	48	-	262.9	95
	compared	Verb	31	-	554.4	95
	directly	Adv	28	-	626.0	95
	variety	NoC	24	-	717.4	95
	1987	Num	0	-	1807.4	95
	return	NoC	23	-	741.3	95
	types	NoC	37	-	431.3	95
	ones	NoC	318	+	2856.9	94
	charge	NoC	50	-	241.2	94
	essential	Adj	26	-	663.8	94
	placed	Verb	17	-	910.5	94
	firm	NoC	35	-	458.1	94
	officer	NoC	79	-	24.3	94
	culture	NoC	15	-	974.4	94
	civil	Adj	27	-	619.3	93
	factors	NoC	32	-	507.8	93
	hardly	Adv	46	-	282.6	93
	talking	Verb	428	+	5463.6	93
	ran	Verb	40	-	364.6	93
	bill	NoC	68	-	69.7	93
	York	NoP	153	+	300.5	93
	sale	NoC	46	-	273.6	93
	blue	Adj	86	-	3.7	92
	introduced	Verb	29	-	568.6	92
	older	Adj	66	-	79.4	92
	direction	NoC	40	-	351.7	92
	whole	NoC	81	-	13.5	92
	created	Verb	23	-	705.7	92
	primary	Adj	30	-	543.1	92
	shop	NoC	188	+	687.6	92
	windows	NoC	52	-	195.6	92
	develop	Verb	37	-	407.2	92
	policies	NoC	58	-	139.9	92
	provides	Verb	13	-	1016.5	92
	context	NoC	35	-	434.3	92
	show	NoC	51	-	204.4	92
	base	NoC	42	-	316.8	92
	places	NoC	91	-	0.0	91
	character	NoC	42	-	314.1	91
	provision	NoC	54	-	169.1	91
	William	NoP	20	-	779.4	91
	killed	Verb	40	-	344.8	91
	caught	Verb	47	-	251.5	91
	animals	NoC	40	-	342.5	91
	interesting	Adj	146	+	255.4	91
	claimed	Verb	13	-	1008.4	91
	suggest	Verb	77	-	19.5	90
	States	NoP	35	-	430.2	90
	speak	Verb	128	+	125.9	90
	baby	NoC	93	+	0.7	90
	sector	NoC	61	-	103.8	90
	slightly	Adv	75	-	24.6	90
	condition	NoC	22	-	701.9	90
	hot	Adj	96	+	2.9	90
	organisation	NoC	24	-	673.1	90
	obvious	Adj	43	-	284.9	90
	future	Adj	39	-	346.2	90
	post	NoC	75	-	24.8	90
	18	Num	2	-	1592.1	90
	even  if	Conj	67	-	61.8	90
	deal	NoC	70	-	44.8	90
	teacher	NoC	67	-	58.2	90
	down	Prep	170	+	518.2	90
	16	Num	2	-	1594.5	90
	hit	Verb	79	-	13.3	90
	believed	Verb	17	-	839.4	90
	past	NoC	58	-	118.0	89
	piece	NoC	120	+	89.1	89
	stand	Verb	114	+	58.3	89
	exchange	NoC	18	-	822.2	89
	league	NoC	35	-	408.3	89
	officers	NoC	87	-	0.3	89
	senior	Adj	28	-	534.8	89
	February	NoP	41	-	299.7	89
	extra	Adj	117	+	77.8	89
	beautiful	Adj	70	-	41.0	89
	players	NoC	22	-	696.8	89
	obviously	Adv	296	+	2620.9	89
	14	Num	1	-	1597.1	89
	answer	NoC	119	+	87.4	89
	9	Num	2	-	1550.5	89
	presence	NoC	11	-	1074.2	89
	discussion	NoC	57	-	124.8	89
	radio	NoC	78	-	12.0	89
	pupils	NoC	20	-	741.0	88
	nuclear	Adj	19	-	775.2	88
	through	Adv	155	+	376.9	88
	moving	Verb	96	+	6.6	88
	works	NoC	31	-	481.8	88
	features	NoC	16	-	861.1	88
	1986	Num	1	-	1652.2	88
	safety	NoC	68	-	49.5	88
	environmental	Adj	48	-	202.8	88
	used	VMod	742	+	15000.9	88
	share	NoC	28	-	527.4	88
	otherwise	Adv	88	-	0.0	88
	weight	NoC	63	-	76.2	88
	families	NoC	43	-	273.5	88
	version	NoC	25	-	601.7	88
	waiting	Verb	76	-	15.3	88
	suppose	Verb	275	+	2237.7	88
	other	NoC	60	-	94.4	88
	looks	Verb	226	+	1353.8	87
	trees	NoC	48	-	198.1	87
	principle	NoC	34	-	404.8	87
	create	Verb	34	-	406.5	87
	Sunday	NoP	143	+	277.8	87
	sex	NoC	49	-	188.5	87
	library	NoC	41	-	287.0	87
	influence	NoC	17	-	798.4	87
	sold	Verb	63	-	65.2	87
	completely	Adv	80	-	5.5	87
	brother	NoC	73	-	19.8	87
	presented	Verb	20	-	725.6	87
	annual	Adj	31	-	453.6	86
	argument	NoC	54	-	131.5	86
	truth	NoC	49	-	186.7	86
	rule	NoC	41	-	285.9	86
	best	Adv	38	-	327.4	86
	nine	Num	571	+	9860.8	86
	shares	NoC	19	-	723.0	86
	latter	DetP	5	-	1272.3	86
	start	NoC	73	-	19.7	86
	none	Pron	71	-	26.1	86
	on to	Prep	143	+	288.5	86
	25	Num	2	-	1527.8	86
	slowly	Adv	21	-	671.8	86
	positive	Adj	62	-	65.8	86
	media	NoC	28	-	506.5	86
	individuals	NoC	31	-	446.3	86
	duty	NoC	38	-	321.8	86
	protection	NoC	35	-	374.3	86
	once	Conj	131	+	186.1	86
	cash	NoC	47	-	198.4	86
	courses	NoC	34	-	379.7	86
	balance	NoC	38	-	319.4	86
	achieved	Verb	24	-	590.0	86
	avoid	Verb	30	-	453.8	85
	collection	NoC	18	-	753.1	85
	interested	Adj	110	+	62.0	85
	marriage	NoC	21	-	660.4	85
	relatively	Adv	27	-	514.8	85
	no one*	Pron	45	-	219.3	85
	August	NoP	30	-	446.6	85
	commercial	Adj	24	-	596.3	85
	Smith	NoP	26	-	549.3	85
	turn	NoC	52	-	141.1	85
	win	Verb	69	-	30.4	85
	relevant	Adj	33	-	398.9	85
	form	Verb	25	-	562.0	85
	Oxford	NoP	92	+	6.0	85
	differences	NoC	20	-	676.5	85
	English	NoC	50	-	157.2	85
	failure	NoC	17	-	771.9	85
	smiled	Verb	3	-	1383.3	84
	return	Verb	18	-	751.4	84
	13	Num	1	-	1516.3	84
	speaker	NoC	37	-	313.2	84
	survey	NoC	32	-	398.0	84
	deep	Adj	35	-	345.5	84
	Africa	NoP	26	-	539.4	84
	born	Verb	60	-	74.4	84
	transport	NoC	61	-	63.6	84
	career	NoC	16	-	793.2	84
	aid	NoC	30	-	432.1	84
	official	Adj	15	-	834.0	84
	due to	Prep	25	-	547.5	84
	machine	NoC	87	+	1.3	84
	closed	Verb	34	-	364.3	84
	accepted	Verb	37	-	320.6	84
	speech	NoC	31	-	422.1	84
	trouble	NoC	138	+	265.3	84
	matters	NoC	47	-	184.2	84
	cells	NoC	13	-	890.1	84
	subjects	NoC	19	-	693.7	84
	stone	NoC	44	-	217.0	84
	Robert	NoP	41	-	247.5	84
	review	NoC	39	-	283.7	83
	studio	NoC	11	-	969.8	83
	kitchen	NoC	75	-	8.2	83
	apply	Verb	46	-	188.0	83
	executive	NoC	31	-	404.1	83
	text	NoC	21	-	642.5	83
	huge	Adj	45	-	201.8	83
	attack	NoC	27	-	492.9	83
	practical	Adj	27	-	494.5	83
	appears	Verb	22	-	611.5	83
	box	NoC	129	+	201.1	83
	later	Adj	33	-	362.9	83
	effort	NoC	35	-	330.2	83
	visit	NoC	18	-	723.6	83
	lives	NoC	41	-	251.9	83
	learn	Verb	85	+	0.6	83
	states	NoC	20	-	666.8	83
	merely	Adv	18	-	715.6	83
	student	NoC	25	-	526.0	82
	lived	Verb	81	-	0.4	82
	larger	Adj	24	-	552.1	82
	remains	Verb	13	-	860.9	82
	voice	Verb	1	-	1482.2	82
	progress	NoC	25	-	528.3	82
	queen	NoC	34	-	342.6	82
	1985	Num	1	-	1530.8	82
	reference	NoC	39	-	272.4	82
	maybe	Adv	301	+	2996.1	82
	values	NoC	15	-	786.4	82
	becomes	Verb	36	-	302.9	82
	covered	Verb	53	-	107.2	82
	thinking	Verb	179	+	771.9	82
	letters	NoC	59	-	66.7	81
	regional	Adj	50	-	131.5	81
	expression	NoC	17	-	729.6	81
	firms	NoC	23	-	564.2	81
	helped	Verb	34	-	333.3	81
	Henry	NoP	14	-	819.8	81
	boys	NoC	78	-	1.0	81
	understanding	NoC	29	-	413.4	81
	politics	NoC	21	-	593.7	81
	explain	Verb	67	-	23.6	81
	drawn	Verb	28	-	450.1	81
	function	NoC	51	-	123.3	81
	instead	Adv	22	-	570.0	81
	image	NoC	24	-	538.2	81
	love	Verb	132	+	249.5	81
	separate	Adj	43	-	204.2	80
	largely	Adv	13	-	841.9	80
	forced	Verb	23	-	560.3	80
	reports	NoC	48	-	142.8	80
	alone	Adv	15	-	771.8	80
	memory	NoC	38	-	266.1	80
	stock	NoC	39	-	247.1	80
	chief	Adj	33	-	346.3	80
	regular	Adj	34	-	319.4	80
	associated	Verb	17	-	696.7	80
	key	Adj	40	-	229.1	80
	knows	Verb	122	+	174.1	80
	bit*	NoC	635	+	12403.1	80
	begin	Verb	33	-	327.9	80
	happen	Verb	156	+	515.9	80
	decisions	NoC	37	-	270.0	80
	affairs	NoC	13	-	816.9	80
	facilities	NoC	37	-	273.0	80
	plant	NoC	28	-	417.3	80
	edge	NoC	32	-	345.3	80
	opinion	NoC	41	-	216.2	79
	add	Verb	108	+	83.3	79
	horse	NoC	61	-	41.3	79
	normally	Adv	112	+	109.4	79
	race	NoC	31	-	362.0	79
	increased	Verb	23	-	533.8	79
	early	Adv	52	-	98.0	79
	leaders	NoC	15	-	748.8	79
	receive	Verb	38	-	249.0	79
	benefit	NoC	70	-	9.6	79
	living	Verb	74	-	3.2	79
	front	NoC	95	+	29.6	79
	impact	NoC	37	-	259.5	79
	bought	Verb	194	+	1068.8	79
	powerful	Adj	15	-	734.6	79
	gold	NoC	35	-	286.1	79
	active	Adj	24	-	494.7	78
	apparently	Adv	73	-	4.1	78
	ended	Verb	23	-	522.6	78
	due	Adj	45	-	154.7	78
	fair	Adj	133	+	282.0	78
	budget	NoC	110	+	104.6	78
	complex	Adj	19	-	624.2	78
	anyway	Adv	503	+	8512.4	78
	cause	NoC	22	-	547.0	78
	managed	Verb	46	-	146.8	78
	advantage	NoC	33	-	309.3	78
	views	NoC	43	-	177.4	78
	aspects	NoC	29	-	379.0	78
	plants	NoC	21	-	555.7	78
	sorry	Adj	431	+	6473.3	78
	nevertheless	Adv	26	-	445.9	78
	network	NoC	27	-	416.4	78
	trust	NoC	39	-	225.2	78
	bar	NoC	71	-	4.8	78
	inside	Prep	47	-	131.6	77
	names	NoC	68	-	11.4	77
	additional	Adj	41	-	200.2	77
	railway	NoC	32	-	320.7	77
	rise	NoC	22	-	523.4	77
	strength	NoC	22	-	528.0	77
	100	Num	2	-	1338.9	77
	sitting	Verb	117	+	163.4	77
	scale	NoC	50	-	99.2	77
	pain	NoC	39	-	217.7	77
	enough	DetP	125	+	230.5	77
	regarded	Verb	13	-	799.2	77
	joined	Verb	31	-	335.9	77
	benefits	NoC	46	-	134.5	77
	afternoon	NoC	148	+	473.4	77
	formed	Verb	15	-	704.0	77
	holding	Verb	31	-	328.8	77
	smaller	Adj	42	-	175.4	77
	becoming	Verb	24	-	463.9	77
	standard	Adj	32	-	308.2	76
	carefully	Adv	32	-	321.9	76
	tomorrow	Adv	234	+	1831.4	76
	Christmas	NoC	194	+	1125.5	76
	records	NoC	26	-	435.4	76
	chair	NoC	88	+	17.0	76
	sister	NoC	61	-	29.0	76
	damage	NoC	28	-	388.5	76
	wants	Verb	197	+	1185.7	76
	impossible	Adj	24	-	477.5	76
	examples	NoC	25	-	440.8	76
	increase	Verb	44	-	149.9	76
	tea	NoC	172	+	801.9	76
	intended	Verb	15	-	710.9	76
	step	NoC	39	-	209.5	76
	explained	Verb	25	-	451.7	76
	for instance	Adv	54	-	68.3	76
	length	NoC	36	-	244.7	76
	join	Verb	59	-	36.9	76
	crime	NoC	35	-	265.5	76
	Saturday	NoP	147	+	471.1	76
	open	Verb	81	+	3.7	76
	reduce	Verb	30	-	334.7	76
	hard	Adv	33	-	287.8	76
	credit	NoC	29	-	360.1	76
	currently	Adv	27	-	390.2	75
	earlier	Adj	27	-	403.5	75
	possibility	NoC	36	-	245.9	75
	proved	Verb	14	-	723.9	75
	sexual	Adj	17	-	641.9	75
	Edward	NoP	16	-	647.5	75
	bodies	NoC	22	-	495.8	75
	50	Num	1	-	1328.4	75
	a bit	Adv	496	+	8543.9	75
	forest	NoC	30	-	332.7	75
	dog	NoC	128	+	282.6	75
	up	Prep	151	+	539.3	75
	EC	NoP	0	-	1468.8	75
	clothes	NoC	58	-	37.3	75
	confidence	NoC	29	-	352.2	75
	feeling	NoC	54	-	62.4	75
	expressed	Verb	18	-	605.1	75
	wind	NoC	41	-	168.0	75
	discussed	Verb	29	-	345.1	75
	patient	NoC	17	-	636.7	75
	cars	NoC	78	+	1.7	75
	agree	Verb	144	+	455.8	75
	units	NoC	36	-	231.8	74
	require	Verb	21	-	522.7	74
	mainly	Adv	38	-	202.3	74
	nice	Adj	603	+	11893.6	74
	domestic	Adj	21	-	507.5	74
	standing	Verb	63	-	16.4	74
	winter	NoC	40	-	186.5	74
	museum	NoC	12	-	775.2	74
	treated	Verb	21	-	514.8	74
	legislation	NoC	32	-	292.8	74
	previously	Adv	21	-	506.8	74
	ministers	NoC	16	-	637.8	74
	holiday	NoC	97	+	60.7	74
	as to	Prep	64	-	14.0	74
	wait	Verb	166	+	755.9	74
	send	Verb	137	+	386.4	74
	materials	NoC	16	-	641.4	74
	No	NoC	0	-	1452.4	74
	gas	NoC	66	-	8.0	74
	solution	NoC	24	-	440.3	74
	supply	NoC	33	-	265.6	74
	suggests	Verb	12	-	781.6	74
	prevent	Verb	17	-	621.1	74
	scene	NoC	20	-	518.9	74
	Mary	NoP	51	-	71.4	73
	corner	NoC	85	+	16.2	73
	pulled	Verb	37	-	205.1	73
	includes	Verb	18	-	576.2	73
	skin	NoC	33	-	272.0	73
	Thomas	NoP	20	-	515.5	73
	middle	Adj	38	-	188.8	73
	difficulties	NoC	29	-	333.4	73
	providing	Verb	35	-	232.7	73
	internal	Adj	17	-	587.0	73
	reach	Verb	28	-	343.0	73
	powers	NoC	21	-	489.2	73
	message	NoC	41	-	158.4	73
	sources	NoC	12	-	752.3	73
	TV	NoC	1	-	1291.9	73
	justice	NoC	20	-	519.8	73
	spoke	Verb	43	-	129.6	73
	increasingly	Adv	14	-	695.2	73
	speed	NoC	47	-	98.9	73
	fall	Verb	48	-	85.8	73
	fresh	Adj	30	-	303.7	72
	match	NoC	36	-	210.8	72
	24	Num	2	-	1253.3	72
	move	NoC	28	-	342.5	72
	entirely	Adv	40	-	158.4	72
	ball	NoC	91	+	41.2	72
	technical	Adj	33	-	257.2	72
	existence	NoC	12	-	754.6	72
	sit	Verb	209	+	1518.8	72
